iter	Accuracy	Logloss
600	0.7103442311	0.5368562485
601	0.7104018913	0.5368376904
602	0.7104883815	0.5365951144
603	0.7103442311	0.5365779369
604	0.7106037018	0.536557768
605	0.7107478522	0.5365087592
606	0.7108055123	0.5364067864
607	0.7108343424	0.5363962004
608	0.7108343424	0.536390129
609	0.7108631725	0.5363782519
610	0.7109784928	0.5363395157
611	0.711064983	0.5363137115
612	0.711064983	0.5363007269
613	0.7110073228	0.5361902142
614	0.7110073228	0.5361659598
615	0.7110073228	0.5361551286
616	0.7110938131	0.5361444497
617	0.7110938131	0.5361021354
618	0.711064983	0.5360802456
619	0.711064983	0.5360683721
620	0.711064983	0.5360271841
621	0.7109496627	0.5358663053
622	0.7108631725	0.5358567656
623	0.7109496627	0.5355779255
624	0.7108343424	0.5354915886
625	0.7109496627	0.5353780792
626	0.7109208326	0.5353385976
627	0.7111803033	0.5353071785
628	0.7111514732	0.5349753301
629	0.7110938131	0.5349026387
630	0.7109496627	0.5348641917
631	0.7109784928	0.534843007
632	0.7111514732	0.5347449438
633	0.7111514732	0.5347043848
634	0.7111803033	0.5346230199
635	0.7112379634	0.5345509376
636	0.7113821138	0.5344376181
637	0.7115262642	0.534310588
638	0.711439774	0.5340200795
639	0.711439774	0.5339491381
640	0.7114974341	0.533936533
641	0.7115839243	0.5339011298
642	0.7115550943	0.5338338195
643	0.7117569048	0.5337929754
644	0.7117857349	0.5337833002
645	0.7119298853	0.5337657002
646	0.7119298853	0.5337477341
647	0.7119010552	0.5336929294
648	0.7120452056	0.5336466322
649	0.7119010552	0.5335788749
650	0.7119298853	0.5335480098
651	0.7121028657	0.5335179094
652	0.7121316958	0.5335008598
653	0.7121605259	0.533424204
654	0.7120740356	0.533383149
655	0.7121893559	0.5333270343
656	0.7123046762	0.5332697808
657	0.7123335063	0.5332619415
658	0.7122758462	0.5332344737
659	0.7122758462	0.5332163332
660	0.7124776567	0.5328983922
661	0.7125064868	0.5328699992
662	0.7126218071	0.5327707616
663	0.7125641469	0.5327495874
664	0.7126794672	0.5326639452
665	0.7126218071	0.5326550137
666	0.7127371274	0.5326354556
667	0.7127371274	0.5326345084
668	0.7128812777	0.5326213995
669	0.7131407484	0.5325745131
670	0.7130830883	0.5325071817
671	0.7130830883	0.5324365372
672	0.7132272387	0.5323527487
673	0.7131407484	0.532350649
674	0.7134002191	0.5322891046
675	0.7137173499	0.5322390164
676	0.7137173499	0.5321054899
677	0.7137750101	0.532073703
678	0.7138615003	0.5320429806
679	0.7140056507	0.5319866229
680	0.7138903304	0.5319108635
681	0.714120971	0.531863126
682	0.7141498011	0.5318467429
683	0.7139479905	0.5318006057
684	0.714120971	0.5317739078
685	0.7140921409	0.5317630646
686	0.7142074612	0.5317517877
687	0.7141498011	0.5317336639
688	0.7142074612	0.5317313967
689	0.7143516116	0.5316944542
690	0.7142651214	0.5316660749
691	0.7144092718	0.5315598914
692	0.7145534221	0.53150206
693	0.714495762	0.5314121949
694	0.714495762	0.531397509
695	0.714495762	0.531375482
696	0.7145245921	0.531361648
697	0.7143516116	0.531281514
698	0.7143516116	0.5312238726
699	0.714495762	0.5312104167
700	0.7146687424	0.531175433
701	0.7147264026	0.5311294529
702	0.7148128928	0.5310304819
703	0.7147264026	0.5310028406
704	0.7149858733	0.5309632998
705	0.7149570432	0.5309147384
706	0.7150147033	0.5309119196
707	0.7151300236	0.5308758854
708	0.7151011936	0.5308453532
709	0.7151588537	0.5308173872
710	0.7151876838	0.5307336985
711	0.7151588537	0.5307166592
712	0.7151588537	0.5306612841
713	0.7151300236	0.5306506249
714	0.7150723635	0.5306375568
715	0.7150147033	0.5306346975
716	0.7149858733	0.5306313915
717	0.7149282131	0.5306214068
718	0.7151300236	0.5305852171
719	0.7151588537	0.5305624406
720	0.7151876838	0.5305247232
721	0.7152453439	0.5303856178
722	0.7152165139	0.5303781486
723	0.7150435334	0.5303431805
724	0.7151588537	0.5303180524
725	0.7152453439	0.5302963147
726	0.7154471545	0.5302600512
727	0.7157354552	0.5302130364
728	0.715648965	0.5300955533
729	0.7156777951	0.530087526
730	0.7157354552	0.5300563799
731	0.7158507755	0.5300036797
732	0.7155913048	0.5299495389
733	0.7157931154	0.529936907
734	0.7157931154	0.5298109586
735	0.7157642853	0.5297945018
736	0.715648965	0.5297716066
737	0.7157354552	0.5296719991
738	0.7156201349	0.5296130706
739	0.7158219455	0.5295900824
740	0.7157931154	0.5295449375
741	0.7158507755	0.5294893625
742	0.7157642853	0.529458902
743	0.7163120567	0.5293713385
744	0.7163120567	0.5293010235
745	0.7163697169	0.5292859178
746	0.716427377	0.5291656157
747	0.7165138673	0.5291476507
748	0.7165138673	0.5290704413
749	0.7166003575	0.5290578142
750	0.7166003575	0.5290424773
751	0.7165715274	0.5290319297
752	0.716398547	0.5289152842
753	0.7166003575	0.5288948565
754	0.7163697169	0.5288559561
755	0.7164850372	0.5288426128
756	0.716398547	0.5288188197
757	0.7163408868	0.5288018994
758	0.7163408868	0.5287997906
759	0.7163120567	0.5287906679
760	0.7162832267	0.5287444212
761	0.7163408868	0.5286560199
762	0.716427377	0.5286122934
763	0.7163408868	0.5284476475
764	0.7165138673	0.5284205415
765	0.7168598282	0.5283930926
766	0.7166580176	0.528348549
767	0.7168309981	0.5283142386
768	0.7169174883	0.5282385609
769	0.7168598282	0.5282271566
770	0.7167156778	0.5281014461
771	0.7166580176	0.5280236027
772	0.7167733379	0.5279537823
773	0.716802168	0.5279512395
774	0.7168309981	0.5278998613
775	0.7168309981	0.5278199149
776	0.7168886582	0.5278018491
777	0.716802168	0.5277869888
778	0.716802168	0.5277610466
779	0.7169463184	0.5277395388
780	0.7170328086	0.5276413556
781	0.7172922793	0.5275962776
782	0.7173499395	0.5275736389
783	0.7172634492	0.5275570444
784	0.7173499395	0.5275258403
785	0.7172634492	0.5274749207
786	0.7174075996	0.5273916149
787	0.7176094101	0.5273331902
788	0.7176382402	0.5273176624
789	0.7178977109	0.5272717618
790	0.7178688808	0.5272392724
791	0.7180418613	0.5272221165
792	0.717955371	0.5271972662
793	0.7178112207	0.5271301422
794	0.7178688808	0.5270243465
795	0.7180130312	0.5269773801
796	0.7179842011	0.5269490495
797	0.7180130312	0.5269419268
798	0.7179842011	0.5269226443
799	0.7180418613	0.5268230268
